"Time_Iter","Outer_Iter","Inner_Iter",     "rms[T]"     
          0,           0,         541,      -8.475208127
          0,           0,         542,      -8.476862349
          0,           0,         543,      -8.478516326
          0,           0,         544,      -8.480170061
          0,           0,         545,      -8.481823556
          0,           0,         546,      -8.483476815
          0,           0,         547,      -8.485129839
          0,           0,         548,      -8.486782631
          0,           0,         549,      -8.488435194
          0,           0,         550,       -8.49008753
          0,           0,         551,      -8.491739642
          0,           0,         552,      -8.493391532
          0,           0,         553,      -8.495043203
          0,           0,         554,      -8.496694656
          0,           0,         555,      -8.498345896
          0,           0,         556,      -8.499996923
          0,           0,         557,      -8.501647741
          0,           0,         558,       -8.50329835
          0,           0,         559,      -8.504948755
          0,           0,         560,      -8.506598957
          0,           0,         561,      -8.508248958
          0,           0,         562,       -8.50989876
          0,           0,         563,      -8.511548367
          0,           0,         564,      -8.513197779
          0,           0,         565,      -8.514846999
          0,           0,         566,      -8.516496029
          0,           0,         567,      -8.518144871
          0,           0,         568,      -8.519793528
          0,           0,         569,      -8.521442001
          0,           0,         570,      -8.523090292
          0,           0,         571,      -8.524738404
          0,           0,         572,      -8.526386338
          0,           0,         573,      -8.528034096
          0,           0,         574,       -8.52968168
          0,           0,         575,      -8.531329093
          0,           0,         576,      -8.532976336
          0,           0,         577,       -8.53462341
          0,           0,         578,      -8.536270319
          0,           0,         579,      -8.537917063
          0,           0,         580,      -8.539563644
          0,           0,         581,      -8.541210065
          0,           0,         582,      -8.542856327
          0,           0,         583,      -8.544502431
          0,           0,         584,       -8.54614838
          0,           0,         585,      -8.547794176
          0,           0,         586,      -8.549439819
          0,           0,         587,      -8.551085312
          0,           0,         588,      -8.552730656
          0,           0,         589,      -8.554375853
          0,           0,         590,      -8.556020904
          0,           0,         591,      -8.557665812
          0,           0,         592,      -8.559310578
          0,           0,         593,      -8.560955202
          0,           0,         594,      -8.562599688
          0,           0,         595,      -8.564244036
          0,           0,         596,      -8.565888248
          0,           0,         597,      -8.567532326
          0,           0,         598,       -8.56917627
          0,           0,         599,      -8.570820083
          0,           0,         600,      -8.572463765
          0,           0,         601,      -8.574107319
          0,           0,         602,      -8.575750746
          0,           0,         603,      -8.577394047
          0,           0,         604,      -8.579037224
          0,           0,         605,      -8.580680277
          0,           0,         606,      -8.582323209
          0,           0,         607,       -8.58396602
          0,           0,         608,      -8.585608712
          0,           0,         609,      -8.587251287
          0,           0,         610,      -8.588893745
          0,           0,         611,      -8.590536088
          0,           0,         612,      -8.592178317
          0,           0,         613,      -8.593820433
          0,           0,         614,      -8.595462439
          0,           0,         615,      -8.597104334
          0,           0,         616,       -8.59874612
          0,           0,         617,      -8.600387799
          0,           0,         618,      -8.602029371
          0,           0,         619,      -8.603670838
          0,           0,         620,        -8.6053122
          0,           0,         621,       -8.60695346
          0,           0,         622,      -8.608594618
          0,           0,         623,      -8.610235675
          0,           0,         624,      -8.611876633
          0,           0,         625,      -8.613517492
          0,           0,         626,      -8.615158254
          0,           0,         627,      -8.616798919
          0,           0,         628,      -8.618439489
          0,           0,         629,      -8.620079965
          0,           0,         630,      -8.621720348
          0,           0,         631,      -8.623360639
          0,           0,         632,      -8.625000839
          0,           0,         633,      -8.626640949
          0,           0,         634,      -8.628280969
          0,           0,         635,      -8.629920902
          0,           0,         636,      -8.631560747
          0,           0,         637,      -8.633200507
          0,           0,         638,      -8.634840181
          0,           0,         639,      -8.636479771
          0,           0,         640,      -8.638119277
          0,           0,         641,      -8.639758702
          0,           0,         642,      -8.641398044
          0,           0,         643,      -8.643037307
          0,           0,         644,      -8.644676489
          0,           0,         645,      -8.646315593
          0,           0,         646,      -8.647954619
          0,           0,         647,      -8.649593568
          0,           0,         648,      -8.651232441
          0,           0,         649,      -8.652871239
          0,           0,         650,      -8.654509962
          0,           0,         651,      -8.656148611
          0,           0,         652,      -8.657787188
          0,           0,         653,      -8.659425692
          0,           0,         654,      -8.661064125
          0,           0,         655,      -8.662702488
          0,           0,         656,      -8.664340782
          0,           0,         657,      -8.665979006
          0,           0,         658,      -8.667617162
          0,           0,         659,      -8.669255251
          0,           0,         660,      -8.670893273
          0,           0,         661,       -8.67253123
          0,           0,         662,      -8.674169121
          0,           0,         663,      -8.675806948
          0,           0,         664,      -8.677444711
          0,           0,         665,      -8.679082411
          0,           0,         666,      -8.680720049
          0,           0,         667,      -8.682357626
          0,           0,         668,      -8.683995141
          0,           0,         669,      -8.685632596
          0,           0,         670,      -8.687269992
          0,           0,         671,      -8.688907329
          0,           0,         672,      -8.690544607
          0,           0,         673,      -8.692181828
          0,           0,         674,      -8.693818992
          0,           0,         675,        -8.6954561
          0,           0,         676,      -8.697093152
          0,           0,         677,      -8.698730149
          0,           0,         678,      -8.700367091
          0,           0,         679,       -8.70200398
          0,           0,         680,      -8.703640816
          0,           0,         681,      -8.705277598
          0,           0,         682,      -8.706914329
          0,           0,         683,      -8.708551008
          0,           0,         684,      -8.710187636
          0,           0,         685,      -8.711824214
          0,           0,         686,      -8.713460743
          0,           0,         687,      -8.715097222
          0,           0,         688,      -8.716733652
          0,           0,         689,      -8.718370034
          0,           0,         690,      -8.720006368
          0,           0,         691,      -8.721642656
          0,           0,         692,      -8.723278897
          0,           0,         693,      -8.724915091
          0,           0,         694,      -8.726551241
          0,           0,         695,      -8.728187345
          0,           0,         696,      -8.729823405
          0,           0,         697,      -8.731459421
          0,           0,         698,      -8.733095393
          0,           0,         699,      -8.734731322
          0,           0,         700,      -8.736367209
          0,           0,         701,      -8.738003053
          0,           0,         702,      -8.739638856
          0,           0,         703,      -8.741274618
          0,           0,         704,      -8.742910339
          0,           0,         705,       -8.74454602
          0,           0,         706,      -8.746181661
          0,           0,         707,      -8.747817263
          0,           0,         708,      -8.749452825
          0,           0,         709,       -8.75108835
          0,           0,         710,      -8.752723836
          0,           0,         711,      -8.754359284
          0,           0,         712,      -8.755994696
          0,           0,         713,       -8.75763007
          0,           0,         714,      -8.759265409
          0,           0,         715,      -8.760900711
          0,           0,         716,      -8.762535978
          0,           0,         717,      -8.764171209
          0,           0,         718,      -8.765806406
          0,           0,         719,      -8.767441568
          0,           0,         720,      -8.769076696
          0,           0,         721,      -8.770711791
          0,           0,         722,      -8.772346852
          0,           0,         723,      -8.773981881
          0,           0,         724,      -8.775616877
          0,           0,         725,      -8.777251841
          0,           0,         726,      -8.778886773
          0,           0,         727,      -8.780521673
          0,           0,         728,      -8.782156543
          0,           0,         729,      -8.783791381
          0,           0,         730,       -8.78542619
          0,           0,         731,      -8.787060968
          0,           0,         732,      -8.788695716
          0,           0,         733,      -8.790330435
          0,           0,         734,      -8.791965125
          0,           0,         735,      -8.793599787
          0,           0,         736,      -8.795234419
          0,           0,         737,      -8.796869024
          0,           0,         738,      -8.798503601
          0,           0,         739,      -8.800138151
          0,           0,         740,      -8.801772673
          0,           0,         741,      -8.803407168
          0,           0,         742,      -8.805041637
          0,           0,         743,      -8.806676079
          0,           0,         744,      -8.808310496
          0,           0,         745,      -8.809944887
          0,           0,         746,      -8.811579252
          0,           0,         747,      -8.813213592
          0,           0,         748,      -8.814847908
          0,           0,         749,      -8.816482198
          0,           0,         750,      -8.818116465
          0,           0,         751,      -8.819750707
          0,           0,         752,      -8.821384926
          0,           0,         753,      -8.823019121
          0,           0,         754,      -8.824653293
          0,           0,         755,      -8.826287442
          0,           0,         756,      -8.827921569
          0,           0,         757,      -8.829555672
          0,           0,         758,      -8.831189754
          0,           0,         759,      -8.832823814
          0,           0,         760,      -8.834457851
          0,           0,         761,      -8.836091868
          0,           0,         762,      -8.837725863
          0,           0,         763,      -8.839359837
          0,           0,         764,      -8.840993791
          0,           0,         765,      -8.842627724
          0,           0,         766,      -8.844261636
          0,           0,         767,      -8.845895529
          0,           0,         768,      -8.847529401
          0,           0,         769,      -8.849163254
          0,           0,         770,      -8.850797088
          0,           0,         771,      -8.852430902
          0,           0,         772,      -8.854064697
          0,           0,         773,      -8.855698474
          0,           0,         774,      -8.857332232
          0,           0,         775,      -8.858965972
          0,           0,         776,      -8.860599693
          0,           0,         777,      -8.862233397
          0,           0,         778,      -8.863867083
          0,           0,         779,      -8.865500751
          0,           0,         780,      -8.867134402
          0,           0,         781,      -8.868768036
          0,           0,         782,      -8.870401652
          0,           0,         783,      -8.872035252
          0,           0,         784,      -8.873668836
          0,           0,         785,      -8.875302403
          0,           0,         786,      -8.876935954
          0,           0,         787,      -8.878569488
          0,           0,         788,      -8.880203007
          0,           0,         789,       -8.88183651
          0,           0,         790,      -8.883469998
          0,           0,         791,       -8.88510347
          0,           0,         792,      -8.886736927
          0,           0,         793,      -8.888370369
          0,           0,         794,      -8.890003797
          0,           0,         795,      -8.891637209
          0,           0,         796,      -8.893270607
          0,           0,         797,      -8.894903991
          0,           0,         798,      -8.896537361
          0,           0,         799,      -8.898170716
          0,           0,         800,      -8.899804058
          0,           0,         801,      -8.901437386
          0,           0,         802,        -8.9030707
          0,           0,         803,      -8.904704001
          0,           0,         804,      -8.906337289
          0,           0,         805,      -8.907970564
          0,           0,         806,      -8.909603825
          0,           0,         807,      -8.911237074
          0,           0,         808,       -8.91287031
          0,           0,         809,      -8.914503534
          0,           0,         810,      -8.916136745
          0,           0,         811,      -8.917769944
          0,           0,         812,      -8.919403131
